OBJECTID,GlobalID,CreationDate,Creator,Tissue_Sample,Hind_Limb_Length,Foot_Width,Wrist_Width,Forelimb_Length,Bolea_Head_Width,Maxillary_Head_Width,Head_Length,Finger_Length,Hand_Width,Ear_Length,Toe_Length,Foot_Length,Tail_Length,Body_Length,Reproductive_Stage,Sex,Life_Stage,Weight_Animal_Only,Weight_Bag_Animal,Species,Genus,Tag,YN_Recapture,Location,Date,Latitude,Longitude,notes
1,{12890BA2-1619-41C5-AE55-5B1D7D252FFB},2025-11-08T16:01:31Z,jotmille_UCSC,NA,51,5,3,39,18,15,51,10,7,17,15,46,233,122,Non-Reproductive,Female,Adult,82,100,Dipodomys venustus,Di,NA,No,Hastings,2025-11-08T16:01:37Z,NA,NA,Did not tag NA
2,{A720CCF9-2B13-4707-B8D2-426CE01002E3},2025-11-08T16:19:58Z,jotmille_UCSC,RC2025-22,48.38,5.34,3.03,34.76,23.8,21.52,45.51,8,7,18,15,43,211,93,Unknown,Unknown,Adult,76,94,Dipodomys venustus,Di,108,Yes,Hastings,2025-11-08T16:20:10Z,NA,NA,NA NA
3,{E90F2F02-96F0-4E67-A73E-A4B3C000C67D},2025-11-08T17:07:49Z,jotmille_UCSC,RC2025-23,51.19,5.83,3.51,34.62,20.38,19.96,47.27,10,6,17,17,45,236,NA,NA,NA,NA,NA,88,Dipodomys venustus,Di,948,Yes,Hastings,2025-11-08T17:09:58Z,NA,NA,NA NA
4,{865AF038-9B16-44EE-91E3-5A336500AB37},2025-11-08T17:19:22Z,jotmille_UCSC,RC2025-24,52.34,5.74,3.96,37.41,24.03,18.01,47,9,7,20,15,46,233,110,Non-Reproductive,Male,Adult,89,110,Dipodomys venustus,Di,917,No,Hastings,2025-11-08T17:19:23Z,NA,NA,NA NA
5,{B464F9EF-9309-4CA1-8F9C-1D45FF69CA99},2025-11-09T16:19:56Z,rmcrowle@ucsc.edu_UCSC,NA,52.9,5.57,2.74,36.15,20.51,22.52,47.7,10,8,20,16,48,239,128,Non-Reproductive,Female,Adult,82,105,Dipodomys venustus,Di,910,No,Hastings,2025-11-09T16:15:25Z,NA,NA,NA NA
6,{909C48BB-D2E9-444E-BCDA-7D063BB53D50},2025-11-09T17:49:43Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys venustus,Di,817,Yes,Hastings,2025-11-09T17:49:47Z,NA,NA,NA NA
7,{FE777AE5-3A52-4F26-B886-A96870C81D5D},2025-11-09T18:07:58Z,jotmille_UCSC,NA,48.93,5.15,3.21,36.46,24.23,19.35,46.05,10,7,16,13,43,237,103,NA,NA,NA,NA,105,Dipodomys venustus,Di,Footprint number #2,No,Hastings,2025-11-09T18:08:03Z,NA,NA,"Escaped early, pictures provided by Hadley NA"
8,{B3D53598-D12E-4EA8-AE01-C8D8015CDC12},2025-11-22T18:15:25Z,jotmille_UCSC,NA,NA,NA,NA,NA,23.07,22.72,44.57,10,6,18,11,46,209,100,NA,Female,NA,78,95,Dipodomys venustus,Di,NA,No,Hastings,2025-11-22T18:15:28Z,NA,NA,NA NA
9,{249F3771-070B-4272-B753-B653046018F3},2025-11-22T15:36:11Z,jotmille_UCSC,RC2025-84,46.6,5.27,3.34,34.77,18.8,17.18,41.88,9,6,16,16,41,232,117,Non-Reproductive,Female,Adult,79,98,Dipodomys venustus,Di,127,No,Hastings,2025-11-22T15:36:13Z,NA,NA,NA NA
10,{E56D9DC1-BF1A-4B30-BD19-9762A5035A7C},2025-11-22T15:52:51Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Dipodomys venustus,Di,948,Yes,Hastings,2025-11-22T15:52:52Z,NA,NA,NA NA
11,{84E3AF01-2928-4DB9-9E8A-2E009078CE20},2025-11-22T16:10:42Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys venustus,Di,817,No,Hastings,2025-11-22T16:10:43Z,NA,NA,NA NA
12,{F6E87A2A-7465-428C-8629-E4B3F107653E},2025-11-22T18:08:26Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys venustus,NA,108,No,Hastings,2025-11-22T18:08:30Z,NA,NA,NA NA
13,{1681CE0C-B97C-4369-AD48-EE42477A4DFC},2025-11-23T16:08:04Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys venustus,Di,127,Yes,Hastings,2025-11-23T16:08:37Z,NA,NA,NA NA
14,{FEC6A137-9C0F-4E5E-BA9C-3299EB4B75E6},2025-11-23T16:32:24Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys venustus,Di,817,Yes,Hastings,2025-11-23T16:32:26Z,NA,NA,NA NA
15,{F90E1EA1-1579-4A8A-8D5B-4B46C0A42944},2025-11-23T17:48:25Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-Reproductive,Female,NA,NA,NA,Dipodomys venustus,Di,108,Yes,Hastings,2025-11-23T17:48:31Z,NA,NA,NA NA
16,{36898FCB-FE74-4BDA-831E-2F5B0A13235B},2025-11-23T17:58:17Z,jotmille_UCSC,RC2025-85,50.11,5.6,3.24,35.74,23.63,17.24,43.4,9,6,16,15,44,209,98,Non-Reproductive,Female,NA,NA,86,Dipodomys venustus,Di,B130,No,Hastings,2025-11-23T17:58:25Z,NA,NA,NA NA
17,{DC67F73F-FF2D-4C80-B6EF-149E1AB3441C},2025-11-23T18:08:03Z,jotmille_UCSC,RC2025-86,47.06,5.24,3.34,36.72,23.17,20.65,44.37,10,7,19,15,45,214,120,Reproductive,Female,Adult,NA,105,Dipodomys venustus,Di,131,No,Hastings,2025-11-23T18:08:16Z,NA,NA,Missing 2 fingers on right foot NA
18,{72A08C16-55C7-4D4D-81EA-71F5DD16A676},2026-01-17T18:29:37Z,jotmille_UCSC,NA,47.85,5.41,3.49,34.29,17.29,21.13,49.85,8,7,18,15,44,219,115,NA,Female,NA,81,93,Dipodomys venustus,DI,825,No,Hastings,2026-01-17T18:38:54Z,NA,NA,NA NA
19,{AB1CCF14-4672-4ED0-BEA4-C47F8FFB9790},2026-01-17T18:53:57Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,Dipodomys venustus,DI,817,Yes,Hastings,2026-01-17T18:54:11Z,NA,NA,NA NA
20,{A6D7521A-2861-4ED1-8716-F37CA38D878F},2026-01-18T17:45:13Z,jotmille_UCSC,RC2025-82,47.67,5.53,3.14,35.72,24.1,19.58,47.9,11,7,16,14,42,200,104,Non-Reproductive,Female,Adult,76,100,Dipodomys venustus,DI,844,No,Hastings,2026-01-18T17:45:23Z,NA,NA,"Only a few ticks, sub adult. NA"
21,{2A04C811-CB77-4AF0-A81C-127BE3E8F4D9},2026-01-18T18:11:01Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,Dipodomys venustus,NA,825,Yes,Hastings,2026-01-18T18:11:02Z,NA,NA,A few baby ticks on genitals NA
22,{DB92A363-533F-4BE3-A07C-36EAD41EBFCE},2026-01-18T18:20:31Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,100,Dipodomys venustus,NA,948,Yes,Hastings,2026-01-18T18:20:32Z,NA,NA,Ticks NA
23,{781DC6FE-1400-4F60-8D90-CACDFC2281AC},2026-01-18T17:01:55Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,Dipodomys venustus,NA,131,No,Hastings,2026-01-18T17:08:59Z,NA,NA,NA NA
24,{8BC70FBB-9445-4B1E-97A8-1FA29F27B14E},2026-01-18T18:28:12Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,Female,Adult,57,87,Dipodomys venustus,DI,817,Yes,Hastings,2026-01-18T18:28:13Z,NA,NA,"Tick larvae on genitals, tail chopped off and found in a different trap NA"
32,{ABBE6AAF-975F-4374-AA86-A139E40E6B00},2026-04-11T16:12:13Z,jotmille_UCSC,NA,50.15,6.25,3.32,37.52,24.15,21.71,45.57,8,7,16,16,45,214,116,Non-Reproductive,Female,Adult,NA,110,Dipodomys venustus,Di,843,No,Hastings,2026-04-11T16:12:15Z,NA,NA,"Tag ripped out, taken data before, ear holes visible NA"
33,{D13FE41B-772E-4C9E-A347-7EFCDC87A5D8},2026-04-11T16:27:19Z,jotmille_UCSC,NA,48.21,4.78,3.1,35.19,24.91,23.6,46.98,9,7,17,15,45,209,113,Non-Reproductive,Female,Adult,97,110,Dipodomys venustus,Di,825,Yes,Hastings,2026-04-11T16:27:22Z,NA,NA,NA NA
34,{AB1330A2-A56C-48E7-BADA-9D9970CF91D7},2026-04-11T17:06:38Z,jotmille_UCSC,NA,50.59,5.62,3.7,36.72,24.6,21.61,46.28,11,6,19,15,44,240,103,Lactating,Female,Adult,87,100,Dipodomys venustus,Di,948,No,Hastings,2026-04-11T17:06:51Z,NA,NA,NA NA
35,{2D57EB4E-0D4C-43AA-83A1-8573FA457416},2026-04-12T15:43:53Z,jotmille_UCSC,NA,52.48,4.93,2.99,33.63,22.44,23.05,45.93,9,6,16,15,43,230,103,Non-Reproductive,Female,Adult,88,105,Dipodomys venustus,Di,837,No,Hastings,2026-04-12T15:44:01Z,NA,NA,Tagged before NA
36,{E72E6B21-91D8-420D-9300-779712C913CF},2026-06-23T13:37:48Z,rmcrowle@ucsc.edu_UCSC,NA,46.38,5.61,2.99,36.27,24.28,NA,45.61,10,6,19,11,42,226,101,Non-Reproductive,Female,Adult,79,95,Dipodomys venustus,Di,"No tag, ABC for footstamp",No,Hastings,2026-06-23T13:38:10Z,NA,NA,NA NA
37,{139FEF84-4817-43C9-879A-83F6458EFD94},2026-06-23T13:46:36Z,rmcrowle@ucsc.edu_UCSC,NA,51.31,5.86,3.47,36.14,20.41,18.99,48.57,10,6,19,16,45,227,102,Reproductive,Female,Adult,94,110,Dipodomys venustus,Di,839,No,Hastings,2026-06-23T13:46:38Z,NA,NA,NA NA
38,{67084CC5-16A5-4D8F-8E1D-ED9FCE2E4BE8},2026-06-23T14:03:13Z,rmcrowle@ucsc.edu_UCSC,NA,47.17,5.39,3.12,35.9,23.82,18.45,45.3,9,5,16,15,43,222,109,Non-Reproductive,Female,Adult,64,80,Dipodomys venustus,Di,B135,No,Hastings,2026-06-23T14:03:15Z,NA,NA,Subadult NA
39,{125A0CDF-67C1-44A4-81A7-8D8CAF5E89E1},2026-06-23T14:34:13Z,rmcrowle@ucsc.edu_UCSC,NA,50.01,5.55,2.94,38.12,20.34,24.44,47.08,9,6,16,14,44,227,114,Non-Reproductive,Female,Adult,NA,100,Dipodomys venustus,Di,822,No,Hastings,2026-06-23T14:34:22Z,NA,NA,Nasty wound on base of belly near leg NA
40,{61C3BC4D-8FF6-4DEC-AAC7-A511707B73FC},2026-06-23T13:17:40Z,jotmille_UCSC,NA,48.29,5.62,3.27,35.02,25.53,NA,48.88,8,7,18,11,41,217,120,Unknown,Female,Adult,15,115,Dipodomys venustus,De,843,No,Hastings,2026-06-23T13:17:59Z,NA,NA,NA NA
41,{29591CCE-E141-4418-A3FF-522190C09DAA},2026-06-24T13:56:31Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys venustus,Di,135,No,Hastings,2026-06-24T13:56:39Z,NA,NA,Recap NA
42,{7CA947C7-0CD9-4FEE-825B-7F823332F36B},2026-06-24T13:31:07Z,rmcrowle@ucsc.edu_UCSC,NA,49.41,5.7,3.47,40.68,22.25,NA,45.41,9,6,17,15,44,228,111,Non-Reproductive,Female,Adult,77,92,Dipodomys venustus,Di,824,No,Hastings,2026-06-24T13:31:09Z,NA,NA,Mightve sewn yesterday didn't tag. Has blue feet when we caught it that's why we think it was the untagged from the day before NA
43,{C2AE4215-8190-451B-9388-E5C09B0D9211},2026-06-24T14:04:59Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys venustus,Di,NA,No,Hastings,2026-06-24T14:05:00Z,NA,NA,"Escaped right out of the trap, saw that it was tagged but couldn't read it NA"
44,{77B87A6B-F845-413D-97EB-B424CCBBF57B},2026-06-25T13:18:51Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,54,95,Dipodomys venustus,Di,843,Yes,Hastings,2026-06-25T13:18:52Z,NA,NA,NA NA
45,{AF5C69E9-A8EA-48A2-B23A-3DD46D316C78},2026-06-25T13:30:48Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,101,NA,NA,Adult,NA,92,Dipodomys venustus,Di,839,Yes,Hastings,2026-06-25T13:30:49Z,NA,NA,NA NA
46,{EDF9FF79-68A6-487C-8F11-CD073F16BA30},2026-06-25T14:21:58Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,Dipodomys venustus,Di,135,Yes,Hastings,2026-06-25T14:21:59Z,NA,NA,NA NA
5,{FEB74BF2-0B74-42AD-B6D5-9F09D9F4F6B8},2025-06-22T13:16:28Z,jotmille_UCSC,NA,NA,NA,1.86,NA,NA,37.73,45.35,NA,NA,18,NA,48,230,108,NA,NA,NA,83,NA,Dipodomys venustus,Di,NA,NA,Hastings,2025-06-22T13:08:06Z,36.38159445016123,-121.5428961,NA Released before tagging
6,{C49E51CE-1C75-4A5F-8528-AF20F7F4AE0E},2025-06-22T13:32:05Z,jotmille_UCSC,NA,NA,NA,2.33,32.02,NA,28.58,45.44,NA,NA,19,NA,45,249,103,Unknown,Female,Adult,NA,NA,Dipodomys venustus,Di,748,NA,Hastings,2025-06-22T13:20:10Z,36.38172758801286,-121.5429778,Forelomb length 32.02 NA
8,{A88CF80E-8AE9-4F14-9A3D-3A058082F354},2025-06-22T14:18:18Z,jotmille_UCSC,NA,NA,NA,2.3,34,NA,31.27,45.93,NA,NA,20,NA,44,222,97,Unknown,Female,NA,95,NA,Dipodomys venustus,Di,102,NA,Hastings,2025-06-22T14:03:35Z,NA,NA,Forelimb 34 l NA
9,{5890F4A3-D106-4FD9-A82F-112A53FF3672},2025-06-22T14:40:30Z,jotmille_UCSC,NA,NA,NA,2.95,36.83,NA,32.64,47.06,NA,7,19,NA,45,176,105,Unknown,Female,NA,91,NA,Dipodomys venustus,Di,Not tagged,NA,Hastings,2025-06-22T14:33:09Z,NA,NA,Forelimb l 36.83 released before tagging and prints NA
74,{C20A9398-35A6-48E9-AE2A-2DFFF20CA52D},2025-06-22T16:50:27Z,jotmille_UCSC,NA,NA,NA,3.58,34.6,NA,30.6,41.76,NA,7,17,NA,48,178,88,NA,Female,Adult,NA,NA,Dipodomys venustus,Di,108,NA,Hastings,2025-06-22T16:39:34Z,36.38459357026601,-121.5493463,34.6 NA
